번호,문제,보기1,보기2,보기3,보기4,정답
1,"증기비중의 정의로 옳은 것은? (단, 보기에서 분자, 분모의 단위는 모두 g/mol 이다.)",분자량/22.4,분자량/29,분자량/44.8,분자량/100,2
2,위험물안전관리법령상 제4류 위험물의 화재에 적응성이 있는 것은?,옥내소화전설비,옥외소화전설비,봉상수소화기,물분무소화설비,4
3,"화재 최성기 때의 농도로 유도등이 보이지 않을 정도의 연기 농도는? (단, 감광계수로 나타낸다.)",0.1m-1,1m-1,10m-1,30m-1,3
4,가연성 가스가 아닌 것은?,일산화탄소,프로판,수소,아르곤,4
5,위험물안전관리법령상 위험물 유별에 따른 성질이 잘못 연결 된 것은?,제1류 위험물 - 산화성고체,제2류 위험물 - 가연성고체,제4류 위험물 - 인화성액체,제6류 위험물 - 자기반응성물질,4
6,무창층 여부를 판단하는 개구부로서 갖추어야할 조건으로 옳 은 것은?,개구부 크기가 지름 30cm 의 원이 내접할 수 있는 것,해당 층의 바닥면으로부터 개구부 밑 부분 까지의 높이가 1.5m 인 것,내부 또는 외부에서 쉽게 파괴 또는 개방할 수 있을 것,창에 방법을 위하여 40cm 간격으로 창살을 설치할 것,3
7,황린의 보관 방법으로 옳은 것은?,물 속에 보관,이황화탄소 속에 보관,수산화칼륨 속에 보관,통풍이 잘 되는 공기 중에 보관,1
8,가연성가스나 산소의 농도를 낮추어 소화하는 방법은?,질식소화,냉각소화,제거소화,억제소화,1
9,"분말 소화약제 중 A급, B급, C급 화재에 모두 사용할 수 있 는 것은? ① Na CO ② NH H PO",,,,,2
10,화재발생 시 건축물의 화재를 확대시키는 주요인이 아닌 것 은?,비화,복사열,화염의 접촉(접염),흡착열에 의한 발화,4
11,제2종 분말 소화약제가 열분해되었을 때 생성되는 물질이 아닌 것은? ① CO ② H O,,,,,3
12,제거소화의 예가 아닌 것은?,유류화재 시 다량의 포를 방사한다.,전기화재 시 신속하게 전원을 차단한다.,가연성가스 화재 시 가스의 밸브를 닫는다.,산림화재 시 확산을 막기 위하여 산림의 일부를 벌목한 다.,1
13,공기 중에서 수소의 연소범위로 옳은 것은?,0.4 ~ 4 vol%,1 ~ 12.5 vol%,4 ~ 75 vol%,67 ~ 92 vol%,3
14,일반적인 자연발화의 방지법으로 틀린 것은?,습도를 높일 것,저장실의 온도를 낮출 것,정촉매 작용을 하는 물질을 피할 것,통풍을 원활하게 하여 열축적을 방지할 것,1
15,이산화탄소(CO2)에 대한 설명으로 틀린 것은?,임계온도는 97.5℃ 이다.,고체의 형태로 존재할 수 있다.,불연성가스로 공기보다 무겁다.,"상온, 상압에서 기체 상태로 존재한다.",1
16,건물화재 시 패닉(panic)의 발생원인과 직접적인 관계가 없 는 것은?,연기에 의한 시계 제한,유독가스에 의한 호흡 장애,외부와 단절되어 고립,불연내장재의 사용,4
17,화학적 소화방법에 해당하는 것은?,모닥불에 물을 뿌려 소화한다.,모닥불을 모래로 덮어 소화한다.,유류화재를 할론 1301로 소화한다.,지하실 화재를 이산화탄소로 소화한다.,3
18,목조건축물에서 발생하는 옥외출화 시기를 나타낸 것으로 옳은 것은?,"창, 출입구 등에 발염 착화한 때","전장 속, 벽 속 등에서 발염 착화한 때",가옥 구조에서는 천장면에 발염 착화한 때,불연 천장인 경우 실내의 그 뒷면에 발염 착화한 때,1
19,공기 중의 산소의 농도는 약 몇 vol% 인가?,10,13,17,21,4
20,화재 발생 시 주수소화가 적합하지 않은 물질은?,적린,마그네슘 분말,과염소산칼륨,유황 2과목 : 소방유체역학,2
21,"펌프의 입구 및 출구측에 연결된 진공계와 압력계가 각각 25mmHg 와 260kPa 을 가리켰다. 이 펌프의 배출 유량이 0.15m3/s 가 되려면 펌프의 동력은 약 몇 kW가 되어야 하 는가? (단, 펌프의 입구와 출구의 높이 차는 없고, 입구측 관직경은 20cm, 출구쪽 관직경은 15cm 이다.)",3.95,4.32,39.5,43.2,4
22,펌프에 대한 설명 중 틀린 것은?,회전식 펌프는 대용량에 적당하며 고장 수리가 간단하 다.,기어 펌프는 회전식 펌프의 일종이다.,플런저 펌프는 왕복식 펌프이다.,"터빈 펌프는 고양정, 대용량에 적합하다.",1
23,"어떤 밸브가 장치된 지름 20cm 인 원관에 4℃의 물이 2m/s 의 평균속도로 흐르고 있다. 밸브와 앞과 뒤에서의 압 력차이가 7.6kPa 일 때, 이 밸브의 부차적 손실계수 K와 등 가길이 Le 은? (단, 관의 마찰계수는 0.02이다.)",K = 3.8 Le = 38m,K = 7.6 Le = 38m,K = 38 Le = 3.8m,K = 38 Le = 7.6m,1
24,"안지름 30cm인 원관 속을 절대압력 0.32MPa, 온도 27℃인 공기가 4kg/s로 흐를 때 이 원관속을 흐르는 공기의 평균 속도는 약 몇 m/s인가? (단, 공기의 기체상수 RL = 287 J/kg·K 이다.)",15.2,20.3,25.2,32.5,1
25,"국소대기압이 102kPa 인 곳의 기압을 비중 1.59, 증기압 13kPa 인 액체를 이용한 기압계로 측정하면 기압계에서 액 주의 높이는?",5.71m,6.55m,9.08m,10.4m,1
26,"이상기체 1kg를 35℃로부터 65℃까지 정적과정에서 가열하 는데 필요한 열량이 118kJ이라면 정압비열은? (단, 이 기체 의 분자량은 4이고 일반기체상수는 8.314kJ/kmol·K이다.)",2.11 kJ/kg·K,3.93 kJ/kg·K,5.23 kJ/kg·K,6.01 kJ/kg·K,4
27,경사진 관로의 유체흐름에서 수력기울기선의 위치로 옳은 것은?,언제나 에너지선보다 위에 있다.,에너지선보다 속도수두 만큼 아래에 있다.,항상 수평이 된다.,개수로의 수면보다 속도수두 만큼 위에 있다.,2
28,"A, B 두 원관 속을 기체가 미소한 압력차로 흐르고 있을 때 이 압력차를 측정하려면 다음 중 어떤 압력계를 쓰는 것이 가장 적절한가?",간섭계,오리피스,마이크로마노미터,부르동 압력계,3
29,"그림과 같이 속도 V인 유체가 정지하고 있는 곡면 깃에 부 딪혀 그림의 각도로 유동 방향이 바뀐다 유체가 곡면에 가 하는 힘의 x, y 성분의 크기를 |F | 와 |F | 라 할 때 |F | x y y / |F | 는? (단, 유동 단면적은 일정하고, 0° <θ <90°이다.) x",,,,,2
30,"안지름 50mm 인 관에 동점성계수 2 X 10-3 cm2/s 인 유체 가 흐르고 있다. 층류로 흐를 수 있는 최대 량은 약 얼마인 가? (단, 임계레이놀즈수는 2100으로 한다.)",16.5 cm3/s,33 cm3/s,49.5 cm3/s,66 cm3/s,1
31,Newton 의 점성법칙에 대한 옳은 설명으로 모두 짝지은 것 은?,"가, 나","나, 다","가, 다","가, 나, 다",1
32,전체 질량이 3000kg 인 소방차의 속력을 4초만에 시속 40km에서 80km로 가속하는 데 필요한 동력은 약 몇 kW 인가?,34,70,139,209,3
33,"관의 단면적이 0.6m2 에서 0.2m2로 감소하는 수평 원형 축 소관으로 공기를 수송하고 있다. 관 마찰손실은 없는 것으 로 가정하고 7.26N/s의 공기가 흐를 때 압력 감소는 몇 Pa 인가? (단, 공기 밀도는 1.23kg/m3이다.)",4.96,5.58,6.20,9.92,1
34,물의 압력파에 의한 수격작용을 방지하기 위한 방법으로 옳 지 않은 것은?,펌프의 속도가 급격히 변화하는 것을 방지한다.,관로 내의 관경을 축소시킨다.,관로 내 유체의 유속을 낮게 한다.,밸브 개폐시간을 가급적 길게 한다.,2
35,"그림과 같이 반경 2m, 폭(y방향) 4m의 곡면 AB가 수문으로 이용된다. 이 수문에 작용하는 물에 의한 힘의 수평성분(x방 향)의 크기는 약 얼마인가?",337kN,392kN,437kN,492kN,2
36,수두 100 mmAq로 표시되는 압력은 몇 Pa인가?,0.098,0.98,9.8,980,4
37,기체의 체적탄성계수에 관한 설명으로 옳지 않은 것은?,체적탄성계수는 압력의 차원을 가진다.,체적탄성계수가 큰 기체는 압축하기가 쉽다.,체적탄성계수의 역수를 압축률이라 한다.,이상기체를 등온압축 시킬 때 체적탄성계수는 절대압력 과 같은 값이다.,2
38,φ 150mm 관을 통해 소방용수가 흐르고 있다. 평균유속이 5m/s이고 50m 떨어진 두 지점 사이의 수두손실이 10m 라 고 하면 이 관의 마찰계수는?,0.0235,0.0315,0.0351,0.0472,1
39,"직경 2m 인 구 형태의 화염이 1MW의 발열량을 내고 있다. 모두 복사로 방출될 때 화염의 표면 온도는? (단, 화염은 흑 체로 가정하고, 주변온도는 300K 스테판-볼츠만 상수는 5.67X10-8 W/m2K4)",1090K,2619K,3720K,6240K,1
40,안지름이 15cm 인 소화용 호스에 물이 질량유량 100kg/s 로 흐르는 경우 평균유속은 약 몇 m/s 인가?,1,1.41,3.18,5.66 3과목 : 소방관계법규,4
41,소방용수시설 저수조의 설치기준으로 틀린 것은?,지면으로부터의 낙차가 4.5m 이하일 것,흡수부분의 수심이 0.3m 이상일 것,흡수관의 투입구가 사각형의 경우에는 한 변의 길이가 60cm 이상일 것,흡수관의 투입구가 원형의 경우에는 지름이 60cm 이상 일 것,2
42,공동 소방안전관리자를 선임하여야 할 특정 소방대상물의 기준으로 틀린 것은?,지하가,지하층을 포함한 층수가 11층 이상의 건축물,복합건축물로서 층수가 5층 이상인 것,판매시설 중 도매시장 또는 소매시장,2
43,종합정밀점검의 경우 점검인력 1단위가 하루 동안 점검할 수 있는 특정소방대상물의 연면적 기준으로 옳은 것은?,12000m2,10000m2,8000m2,6000m2,2
44,화재현장에서의 피난 등을 체험할 수 있는 소방체험관의 설 립·운영권자는?,시·도지사,국민안전처장관,소방본부장 또는 소방서장,한국소방안전협회장,1
45,제3류 위험물 중 금수성 물품에 적응성이 있는 소화약제는?,물,강화액,팽창질석,인산염류분말,3
46,소방서의 종합상황실 실장이 서면 모사전송 또는 컴퓨터통 신 등으로 소방본부의 종합상황실에 보고하여야 하는 화재 가 아닌 것은?,사상자가 10인 발생한 화재,이재민이 100인 발생한 화재,관공서·학교·정부미도정공장의 화재,재산피해액이 10억원 발생한 일반화재,4
47,시·도의 조례가 정하는 바에 따라 지정수량 이상의 위험물 을 임시로 저장·취급할 수 있는 기간과 (ㄱ) 과 임시저장 승 인권자 (ㄴ)은?,"ㄱ. 30일 이내, ㄴ. 시·도지사","ㄱ. 60일 이내, ㄴ.소방본부장","ㄱ. 90일 이내, ㄴ. 관할소방서장","ㄱ. 120일 이내, ㄴ. 국민안전처장관",3
48,소방시설관리업의 등록을 반드시 취소해야 하는 사유에 해 당하지 않는 것은?,거짓으로 등록을 한 경우,등록기준에 미달하게 된 경우,다른 사람에게 등록증을 빌려준 경우,등록의 결격사유에 해당하게 된 경우,2
49,소방시설업의 등록권자로 옳은 것은?,국무총리,시·도지사,소방서장,한국소방안전협회장,2
50,( ) 안의 내용으로 알맞은 것은?,제1류,제2류,제3류,제4류,4
51,소방기본법상 소방용수시설·소화기구 및 설비등의 설치명령 을 위반한 자의 과태료는?,100만원 이하,200만원 이하,300만원 이하,500만원 이하,2
52,가연성가스를 저장·취급하는 시설로서 1급 소방안전관리대 상물의 가연성가스 저장·취급 기준으로 옳은 것은?,100톤 미만,100톤 이상 ~ 1000톤 미만,500톤 이상 ~ 1000톤 미만,1000톤 이상,4
