번호,문제,보기1,보기2,보기3,보기4,정답
1,갑종방화문과 을종방화문의 비차열 성능은 각각 최소 몇 분 이상이어야 하는가?,"갑종 : 90분, 을종 : 40분","갑종 : 60분, 을종 : 30분","갑종 : 45분, 을종 : 20분","갑종 : 30분, 을종 : 10분",2
2,4 2 6 2,,,,,4
3,비열이 가장 큰 물질은?,구리,수은,물,철,3
4,건축물의 피난∙방화구조 등의 기준에 관한 규칙에 따른 철망 모르타르로서 그 바름두께가 최소 몇 cm 이상인 것을 방화 구조로 규정하는가?,2,2.5,3,3.5,1
5,제3종 분말소화약제에 대한 설명으로 틀린 것은?,"A,B,C급 화재에 모두 적응한다.",주성분은 탄산수소칼륨과 요소이다.,열분해시 발생되는 불연성 가스에 의한 질식효과가 있다.,분말운무에 의한 열방사를 차단하는 효과가 있다.,2
6,"어떤 유기화합물을 원소 분석한 결과 중량백분율이 C : 39.9%, H : 6.7%, O : 53.4% 인 경우 이 화합물의 분자식 은? (단, 원자량은 C = 12, O = 16, H = 1 이다.) ① C H O ② C H O",,,,,2
7,제4류 위험물의 물리∙화학적 특성에 대한 설명으로 틀린 것 은?,증기비중은 공기보다. 크다.,정전기에 의한 화재발생위험이 있다.,인화성 액체이다.,인화점이 높을수록 증기발생이 용이하다.,4
8,유류 탱크의 화재 시 탱크 저부의 물이 뜨거운 열류층에 의 하여 수증기로 변하면서 급작스런 부피 팽창을 일으켜 유류 가 탱크 외부로 분출하는 현상은?,슬롭 오버(Slop Over),블레비(BLEVE),보일 오버(Boil Over),파이어 볼(Fire Ball),3
9,"화재예방, 소방시설 설치∙유지 및 안전관리에 관한 법령에 따 른 개구부의 기준으로 틀린 것은?",해당 층의 바닥면으로부터 개구부 밑부분까지의 높이가 1.5m 이내일 것,크기는 지름 50cm 이상의 원이 내접할 수 있는 크기일 것,도로 또는 차량이 진입할 수 있는 빈터를 향할 것,내부 또는 외부에서 쉽게 부수거나 열 수 있을 것,1
10,소화약제로 사용할 수 없는 것은? ① KHCO ② NAHCO,,,,,4
11,"어떤 기체가 0℃, 1기압에서 부피가 11.2L, 기체질량이 22g 이었다면 이 기체의 분자량은? (단, 이상기체로 가정한다.)",22,35,44,56,3
12,다음 중 분진 폭발의 위험성이 가장 낮은 것은?,소석회,알루미늄분,석탄분말,밀가루,1
13,폭연에서 폭굉으로 전이되기 위한 조건에 대한 설명으로 틀 린 것은?,정상연소속도가 작은 가스일수록 폭굉으로 전이가 용이 하다.,배관내에 장애물이 존재할 경우 폭굉으로 전이가 용이하 다.,배관의 관경이 가늘수록 폭굉으로 전이가 용이하다.,배관내 압력이 높을수록 폭굉으로 전이가 용이하다.,1
14,연소의 4요소 중 자유활성기(free radical)의 생성을 저하시 켜 연쇄반응을 중지시키는 소화방법은?,제거소화,냉각소화,질식소화,억제소화,4
15,내화구조에 해당하지 않는 것은?,철근콘크리트조로 두께가 10cm 이상인 벽,철근콘크리트조로 두께가 5cm 이상인 외벽 중 비 내력 벽,벽돌조로서 두께가 19cm 이상인 벽,철골철근콘크리트조로서 두께가 10cm 이상인 벽,2
16,피난로의 안전구획 중 2차 안전구획에 속하는 것은?,복도,계단부속실(계단전실),계단,피난층에서 외부와 직면한 현관,2
17,경유화재가 발생했을 때 주수소화가 오히려 위험할 수 있는 이유는?,경유는 물과 반응하여 유독가스를 발생하므로,경유의 연소열로 인하여 산소가 방출되어 연소를 돕기 때문에,경유는 물보다 비중이 가벼워 화재면의 확대 우려가 있 으므로,경유가 연소할 때 수소가스를 발생하여 연소를 돕기 때 문에,3
18,TLV(Threshold Limit Value)가 가장 높은 가스는?,시안화수소,포스겐,일산화탄소,이산화탄소,4
